user_word,preds
gini,6
gini,6
gini,6
gini,6
gini,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
fit,6
fit,6
fit,6
fit,6
recall,6
recall,6
recall,6
recall,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
linear,6
linear,6
linear,6
target,6
target,6
target,6
significant,6
significant,6
significant,6
ols,6
ols,6
ols,6
ols,6
f1,6
f1,6
f1,6
f1,6
f1,6
gini,6
gini,6
gini,6
gini,6
gini,6
gini,6
gini,6
gini,6
loss,6
loss,6
loss,6
loss,6
binary,6
binary,6
binary,6
binary,6
binary,6
binary,6
binary,6
binary,6
binary,6
binary,6
binary,6
target,6
target,6
target,6
minimization,6
minimization,6
minimization,6
minimization,6
pvalue,6
pvalue,6
pvalue,6
pvalue,6
collinear,6
collinear,6
collinear,6
predict,6
predict,6
predict,6
predict,6
loss,6
loss,6
loss,6
loss,6
loss,6
loss,6
loss,6
loss,6
binary,6
binary,6
binary,6
binary,6
blue,6
blue,6
blue,6
lasso,6
lasso,6
blue,6
binary,6
binary,6
minimization,6
binary,6
minimization,6
minimization,6
blue,6
blue,6
blue,6
lasso,6
lasso,6
binary,6
binary,6
binary,6
binary,6
binary,6
residual,6
residual,6
binary,6
loss,6
loss,6
minimization,6
minimization,6
minimization,6
f1,6
f1,6
significant,6
significant,6
significant,6
f1,6
significant,6
significant,6
significant,6
significant,6
loss,6
loss,6
loss,6
loss,6
loss,6
loss,6
loss,6
f1,6
f1,6
f1,6
f1,6
f1,6
f1,6
f1,6
logistic,6
f1,6
logistic,6
f1,6
f1,6
binary,6
binary,6
binary,6
categorical,6
categorical,6
categorical,6
logistic,6
logistic,6
logistic,6
loss,6
loss,6
f1,6
gini,6
gini,6
gini,6
epsilon,6
epsilon,6
epsilon,6
epsilon,6
significant,6
significant,6
significant,6
loss,6
loss,6
loss,6
linear,6
linear,6
linear,6
fit,6
fit,6
fit,6
recall,6
recall,6
recall,6
recall,6
recall,6
predict,6
predict,6
predict,6
ols,6
ols,6
ols,6
ols,6
ols,6
categorical,6
categorical,6
categorical,6
minimization,6
minimization,6
minimization,6
minimization,6
minimization,6
f1,6
residual,6
residual,6
residual,6
pvalue,6
pvalue,6
pvalue,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
f1,6
f1,6
f1,6
f1,6
f1,6
f1,6
f1,6
f1,6
significant,6
significant,6
significant,6
significant,6
significant,6
collinear,6
collinear,6
collinear,6
collinear,6
collinear,6
gini,6
gini,6
gini,6
gini,6
gini,6
gini,6
recall,6
recall,6
recall,6
recall,6
epsilon,6
fit,6
epsilon,6
epsilon,6
independent,6
independent,6
fit,6
fit,6
epsilon,6
epsilon,6
independent,6
fit,6
independent,6
independent,6
independent,6
independent,6
independent,6
independent,6
independent,6
independent,6
linear,6
linear,6
linear,6
significant,6
significant,6
significant,6
loss,6
loss,6
loss,6
loss,6
binary,6
binary,6
binary,6
binary,6
binary,6
ols,6
ols,6
ols,6
residual,6
residual,6
ols,6
binary,6
binary,6
binary,6
binary,6
target,6
target,6
binary,6
binary,6
binary,6
aucroc,6
aucroc,6
aucroc,6
aucroc,6
aucroc,6
sigmoid,6
aucroc,6
sigmoid,6
sigmoid,6
sigmoid,6
pvalue,6
pvalue,6
pvalue,6
pvalue,6
f1,6
f1,6
f1,6
f1,6
loss,6
loss,6
linear,6
linear,6
linear,6
binary,6
binary,6
binary,6
binary,6
binary,6
linear,6
binary,6
linear,6
linear,6
linear,6
binary,6
loss,6
loss,6
loss,6
f1,6
predict,6
predict,6
predict,6
predict,6
predict,6
predict,6
loss,6
loss,6
loss,6
epsilon,6
epsilon,6
epsilon,6
sigmoid,6
sigmoid,6
sigmoid,6
binary,6
target,6
target,6
binary,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
significant,6
sigmoid,6
significant,6
significant,6
significant,6
significant,6
significant,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
collinear,6
collinear,6
collinear,6
epsilon,6
collinear,6
epsilon,6
epsilon,6
epsilon,6
residual,6
residual,6
residual,6
f1,6
binary,6
binary,6
binary,6
f1,6
collinear,6
collinear,6
collinear,6
collinear,6
collinear,6
collinear,6
collinear,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
f1,6
categorical,6
categorical,6
categorical,6
categorical,6
blue,6
blue,6
lasso,6
lasso,6
blue,6
recall,6
recall,6
recall,6
gini,6
gini,6
gini,6
blue,6
blue,6
lasso,6
lasso,6
lasso,6
predict,6
predict,6
f1,6
collinear,6
collinear,6
collinear,6
predict,6
predict,6
predict,6
predict,6
fit,6
fit,6
fit,6
loss,6
loss,6
loss,6
aucroc,6
aucroc,6
aucroc,6
aucroc,6
significant,6
f1,6
significant,6
significant,6
epsilon,6
epsilon,6
epsilon,6
independent,6
epsilon,6
independent,6
independent,6
independent,6
independent,6
residual,6
residual,6
residual,6
residual,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
linear,6
linear,6
linear,6
categorical,6
categorical,6
categorical,6
ols,6
ols,6
ols,6
f1,6
f1,6
f1,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
predict,6
predict,6
predict,6
pvalue,6
pvalue,6
pvalue,6
residual,6
residual,6
residual,6
f1,6
f1,6
f1,6
f1,6
f1,6
gini,6
gini,6
gini,6
gini,6
gini,6
gini,6
recall,6
recall,6
recall,6
fit,6
fit,6
fit,6
fit,6
linear,6
linear,6
linear,6
linear,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
significant,6
significant,6
significant,6
residual,6
residual,6
residual,6
residual,6
f1,6
residual,6
f1,6
f1,6
f1,6
f1,6
ols,6
f1,6
ols,6
ols,6
ols,6
loss,6
loss,6
loss,6
x,6
x,6
x,6
pvalue,6
x,6
pvalue,6
pvalue,6
pvalue,6
binary,6
binary,6
binary,6
binary,6
binary,6
sigmoid,6
binary,6
sigmoid,6
sigmoid,6
linear,6
linear,6
linear,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
matrix,6
matrix,6
matrix,6
matrix,6
matrix,6
matrix,6
loss,6
loss,6
loss,6
linear,6
linear,6
linear,6
linear,6
sigmoid,6
sigmoid,6
sigmoid,6
loss,6
loss,6
loss,6
loss,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
significant,6
f1,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
binary,6
binary,6
binary,6
residual,6
residual,6
residual,6
categorical,6
categorical,6
categorical,6
f1,6
loss,6
loss,6
loss,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
sigmoid,6
gini,6
gini,6
gini,6
x,6
recall,6
recall,6
recall,6
fit,6
fit,6
fit,6
fit,6
fit,6
sigmoid,6
sigmoid,6
sigmoid,6
